algo,time,roughMemoryEstimate,answerDepth,answerCost,startState,processedNodes,nodeInstancesCreated
DFS,0.004,13,3,5,BC#A#,7,17
Uniform,0.012,15,3,5,BC#A#,12,28
IterativeDeepening,0.015,12,3,5,BC#A#,23,44
BFS,0.006,20,3,5,BA#C#,16,47
DFS,0.013,13,3,5,BA#C#,11,25
Uniform,0.016,14,3,5,BA#C#,13,29
IterativeDeepening,0.021,12,3,5,BA#C#,18,41
BFS,0.002,20,3,5,CA#B#,16,47
DFS,0.003,13,3,5,CA#B#,11,25
Uniform,0.007,14,3,5,CA#B#,13,29
IterativeDeepening,0.009,12,3,5,CA#B#,22,44
BFS,0.002,14,3,6,CBA##,6,19
DFS,0.005,13,3,6,CBA##,13,29
Uniform,0.007,18,3,6,CBA##,9,25
IterativeDeepening,0.01,6,3,6,CBA##,6,12
BFS,0.001,20,3,5,AC#B#,19,52
DFS,0.007,13,3,5,AC#B#,7,17
Uniform,0.012,15,3,5,AC#B#,12,28
IterativeDeepening,0.014,12,3,5,AC#B#,23,44
BFS,0.006,20,4,7,BAC##,16,47
DFS,0.014,13,4,7,BAC##,11,25
Uniform,0.018,14,4,7,BAC##,13,29
IterativeDeepening,0.022,11,4,7,BAC##,27,51
BFS,0.001,20,3,5,CA#B#,16,47
DFS,0.003,13,3,5,CA#B#,11,25
Uniform,0.012,14,3,5,CA#B#,13,29
IterativeDeepening,0.018,12,3,5,CA#B#,22,44
BFS,0.001,20,3,5,AC#B#,19,52
DFS,0.005,13,3,5,AC#B#,7,17
Uniform,0.007,15,3,5,AC#B#,12,28
IterativeDeepening,0.012,12,3,5,AC#B#,23,44
BFS,0.001,14,2,4,CB#A#,6,19
DFS,0.002,13,2,4,CB#A#,13,29
Uniform,0.006,18,2,4,CB#A#,9,25
IterativeDeepening,0.013,6,2,4,CB#A#,4,9
BFS,0.008,14,2,4,CB#A#,6,19
DFS,0.022,13,2,4,CB#A#,13,29
Uniform,0.026,18,2,4,CB#A#,9,25
IterativeDeepening,0.033,6,2,4,CB#A#,4,9
BFS,0.013,20,4,7,BAC##,16,47
DFS,0.019,13,4,7,BAC##,11,25
Uniform,0.022,14,4,7,BAC##,13,29
IterativeDeepening,0.024,11,4,7,BAC##,27,51
BFS,0.007,11,1,2,AB#C#,4,12
DFS,0.008,6,1,2,AB#C#,2,3
Uniform,0.009,7,1,2,AB#C#,2,3
IterativeDeepening,0.012,4,1,2,AB#C#,4,3
BFS,0.001,20,3,5,CA#B#,16,47
DFS,0.004,13,3,5,CA#B#,11,25
Uniform,0.007,14,3,5,CA#B#,13,29
IterativeDeepening,0.031,12,3,5,CA#B#,22,44
BFS,0.001,20,4,7,CAB##,16,47
DFS,0.003,13,4,7,CAB##,11,25
Uniform,0.012,14,4,7,CAB##,13,29
IterativeDeepening,0.016,11,4,7,CAB##,27,51
BFS,0.006,20,3,5,BC#A#,19,52
DFS,0.01,13,3,5,BC#A#,7,17
Uniform,0.013,15,3,5,BC#A#,12,28
IterativeDeepening,0.015,12,3,5,BC#A#,23,44
BFS,0.0,20,3,5,AC#B#,19,52
DFS,0.013,13,3,5,AC#B#,7,17
Uniform,0.016,15,3,5,AC#B#,12,28
IterativeDeepening,0.017,12,3,5,AC#B#,23,44
BFS,0.002,20,4,7,BAC##,16,47
DFS,0.006,13,4,7,BAC##,11,25
Uniform,0.009,14,4,7,BAC##,13,29
IterativeDeepening,0.012,11,4,7,BAC##,27,51
BFS,0.0,11,1,2,AB#C#,4,12
DFS,0.002,6,1,2,AB#C#,2,3
Uniform,0.002,7,1,2,AB#C#,2,3
IterativeDeepening,0.003,4,1,2,AB#C#,4,3
BFS,0.003,20,4,7,BAC##,16,47
DFS,0.004,13,4,7,BAC##,11,25
Uniform,0.007,14,4,7,BAC##,13,29
IterativeDeepening,0.016,11,4,7,BAC##,27,51
BFS,0.001,20,3,5,AC#B#,19,52
DFS,0.003,13,3,5,AC#B#,7,17
Uniform,0.004,15,3,5,AC#B#,12,28
IterativeDeepening,0.007,12,3,5,AC#B#,23,44
BFS,0.001,20,3,5,CA#B#,16,47
DFS,0.006,13,3,5,CA#B#,11,25
Uniform,0.011,14,3,5,CA#B#,13,29
IterativeDeepening,0.013,12,3,5,CA#B#,22,44
BFS,0.0,20,3,5,AC#B#,19,52
DFS,0.002,13,3,5,AC#B#,7,17
Uniform,0.005,15,3,5,AC#B#,12,28
IterativeDeepening,0.008,12,3,5,AC#B#,23,44
BFS,0.001,14,2,4,CB#A#,6,19
DFS,0.004,13,2,4,CB#A#,13,29
Uniform,0.009,18,2,4,CB#A#,9,25
IterativeDeepening,0.01,6,2,4,CB#A#,4,9
BFS,0.003,20,3,5,BC#A#,19,52
DFS,0.005,13,3,5,BC#A#,7,17
Uniform,0.007,15,3,5,BC#A#,12,28
IterativeDeepening,0.012,12,3,5,BC#A#,23,44
BFS,0.002,20,3,5,AC#B#,19,52
DFS,0.004,13,3,5,AC#B#,7,17
Uniform,0.007,15,3,5,AC#B#,12,28
IterativeDeepening,0.015,12,3,5,AC#B#,23,44
BFS,0.0,17,2,3,A#B#C,12,32
DFS,0.002,13,2,3,A#B#C,9,21
Uniform,0.003,14,2,3,A#B#C,13,29
IterativeDeepening,0.006,9,2,3,A#B#C,10,21
BFS,0.001,20,3,5,BA#C#,16,47
DFS,0.004,13,3,5,BA#C#,11,25
Uniform,0.005,14,3,5,BA#C#,13,29
IterativeDeepening,0.007,12,3,5,BA#C#,18,41
BFS,0.001,20,4,7,BCA##,19,52
DFS,0.001,13,4,7,BCA##,7,17
Uniform,0.003,15,4,7,BCA##,12,28
IterativeDeepening,0.004,11,4,7,BCA##,28,51
BFS,0.001,20,3,5,AC#B#,19,52
DFS,0.003,13,3,5,AC#B#,7,17
Uniform,0.006,15,3,5,AC#B#,12,28
IterativeDeepening,0.009,12,3,5,AC#B#,23,44
BFS,0.001,20,3,5,AC#B#,19,52
DFS,0.003,13,3,5,AC#B#,7,17
Uniform,0.006,15,3,5,AC#B#,12,28
IterativeDeepening,0.008,12,3,5,AC#B#,23,44
BFS,0.001,20,4,7,ACB##,19,52
DFS,0.003,13,4,7,ACB##,7,17
Uniform,0.005,15,4,7,ACB##,12,28
IterativeDeepening,0.007,11,4,7,ACB##,28,51
BFS,0.0,14,2,4,CB#A#,6,19
DFS,0.001,13,2,4,CB#A#,13,29
Uniform,0.003,18,2,4,CB#A#,9,25
IterativeDeepening,0.006,6,2,4,CB#A#,4,9
BFS,0.0,14,3,6,CBA##,6,19
DFS,0.0,13,3,6,CBA##,13,29
Uniform,0.002,18,3,6,CBA##,9,25
IterativeDeepening,0.007,6,3,6,CBA##,6,12
BFS,0.0,14,3,6,CBA##,6,19
DFS,0.002,13,3,6,CBA##,13,29
Uniform,0.003,18,3,6,CBA##,9,25
IterativeDeepening,0.007,6,3,6,CBA##,6,12
